Timestamp,Username,Source_IP,Destination_IP,Protocol,Traffic_Type,Malware_Indicator,Anomaly_Score,Alert,Threat_Type,Attack_Signature,Action_Taken,Severity,Device_OS
2020-03-02 04:36:11,user178,19.162.89.140,213.122.113.206,UDP,HTTP,No Detection,52.43,no,Intrusion,Known Pattern B,Logged,High,Windows
2021-04-27 23:41:44,user179,137.123.206.194,35.130.72.142,UDP,HTTP,No Detection,97.91,yes,DDoS,Known Pattern B,Blocked,Low,Linux
2023-06-10 13:26:50,user180,176.224.143.205,4.249.187.240,TCP,DNS,IoC Detected,33.2,no,Intrusion,Known Pattern B,Logged,Low,Windows
2021-06-07 08:51:57,user181,33.110.180.49,207.40.203.160,ICMP,HTTP,IoC Detected,76.74,no,Intrusion,Known Pattern B,Blocked,Medium,Linux
2020-02-12 05:55:15,user182,167.233.12.72,96.34.237.252,UDP,DNS,No Detection,65.71,no,Malware,Known Pattern B,Ignored,Low,Linux
2020-04-19 09:02:56,user183,11.17.109.244,207.66.30.169,ICMP,HTTP,IoC Detected,2.84,no,Intrusion,Known Pattern A,Blocked,Medium,Linux
2021-07-21 12:39:12,user184,121.95.18.85,178.217.92.199,UDP,FTP,No Detection,72.86,no,DDoS,Known Pattern B,Logged,Low,Linux
2020-11-03 17:47:58,user185,78.167.158.25,183.111.240.93,ICMP,HTTP,No Detection,49.17,no,DDoS,Known Pattern A,Blocked,Low,Linux
2021-06-09 04:04:13,user186,148.229.29.236,193.148.16.50,TCP,DNS,No Detection,44.02,yes,DDoS,Known Pattern A,Logged,High,Windows
2023-08-16 20:19:21,user187,143.179.189.191,151.246.113.175,TCP,HTTP,No Detection,85.02,no,DDoS,Known Pattern B,Ignored,Medium,Windows
2023-10-09 22:48:01,user188,11.209.23.190,114.127.201.85,TCP,FTP,IoC Detected,77.47,no,Intrusion,Known Pattern B,Blocked,High,Linux
2020-08-02 07:08:11,user189,31.174.164.131,209.183.131.130,TCP,FTP,No Detection,97.05,no,Malware,Known Pattern A,Blocked,Medium,Macintosh
2021-10-06 14:26:45,user190,201.48.214.160,52.76.105.255,TCP,DNS,IoC Detected,61.61,yes,DDoS,Known Pattern A,Logged,High,iPod
2023-03-11 22:46:56,user191,212.138.254.150,204.126.129.162,UDP,DNS,No Detection,35.68,no,DDoS,Known Pattern B,Ignored,Medium,Windows
2022-05-27 05:27:38,user192,142.213.248.60,213.191.158.240,UDP,FTP,IoC Detected,76.65,no,DDoS,Known Pattern A,Blocked,Low,Linux
2023-04-08 06:12:20,user193,214.194.175.160,142.14.23.95,TCP,DNS,IoC Detected,92.91,yes,DDoS,Known Pattern B,Ignored,Low,Linux
2020-07-29 06:10:39,user194,129.34.189.246,128.155.82.149,TCP,DNS,IoC Detected,96.01,yes,Intrusion,Known Pattern A,Blocked,Low,Windows
2022-09-28 12:29:59,user195,205.42.115.109,119.1.96.145,TCP,DNS,IoC Detected,67.99,yes,DDoS,Known Pattern A,Ignored,High,Windows
2020-08-15 14:46:13,user196,30.155.67.188,219.192.255.183,ICMP,HTTP,IoC Detected,62.61,yes,Malware,Known Pattern A,Logged,High,iPhone
2022-03-14 14:48:24,user197,131.149.188.210,97.31.129.10,ICMP,HTTP,IoC Detected,6.32,no,Intrusion,Known Pattern B,Logged,High,Linux
2021-11-03 06:49:58,user198,94.101.66.166,156.231.6.25,UDP,FTP,IoC Detected,40.18,no,Malware,Known Pattern B,Blocked,High,Linux
2021-08-04 01:03:13,user199,103.193.82.129,110.123.219.99,UDP,FTP,No Detection,52.13,no,Intrusion,Known Pattern A,Blocked,High,Linux
2021-11-12 14:31:03,user200,209.117.142.95,15.108.17.203,UDP,HTTP,No Detection,54.44,no,Malware,Known Pattern A,Blocked,Medium,Windows
